feature,importance
tenure,0.13161887053110705
TotalCharges,0.11586990053622205
MonthlyCharges,0.1071876171108155
Contract,0.10035712796374703
OnlineSecurity_No,0.05698584534812052
TechSupport_No,0.04760471988462065
PaymentMethod_Electronic check,0.03818615819315531
PaperlessBilling,0.03137134779850308
gender,0.029973498183598606
InternetService_Fiber optic,0.025599010925109782
Partner,0.0247194812439309
Dependents,0.024668033071491922
SeniorCitizen,0.018716473701018237
OnlineBackup_No,0.01795349213150632
OnlineSecurity_Yes,0.01788084451194777
TechSupport_Yes,0.016253362390788877
PaymentMethod_Credit card (automatic),0.015914084848771104
MultipleLines_Yes,0.013563839047313404
MultipleLines_No,0.013138092006091041
PaymentMethod_Bank transfer (automatic),0.01310707732365141
DeviceProtection_No,0.01228614447596122
OnlineBackup_Yes,0.012189529966889956
PaymentMethod_Mailed check,0.012114327866375618
DeviceProtection_Yes,0.011352079496597285
StreamingTV_Yes,0.01105794476189009
InternetService_DSL,0.010784060419273982
StreamingMovies_Yes,0.01052057749063119
StreamingTV_No,0.01042814713650372
StreamingMovies_No,0.010422295064780008
StreamingTV_No internet service,0.005866804655497711
InternetService_No,0.0053463360977299606
StreamingMovies_No internet service,0.004927611893640933
TechSupport_No internet service,0.004463118576536897
DeviceProtection_No internet service,0.004323019693983612
PhoneService,0.0034509782790318653
MultipleLines_No phone service,0.0033644112652843534
OnlineBackup_No internet service,0.003221670936173349
OnlineSecurity_No internet service,0.0032120651717078594

